tt,est_tt,dp_tt,dp_est_tt,dp_induced_excess_tt,path_similarity,tt_est_error,dp_tt_est_error
120,119.46804123711341,120,119.4680708079635,0,1.0,0.5319587628865889,0.5319291920365004
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
180,179.1835051546392,180,179.2033122627934,0,1.0,0.8164948453608076,0.7966877372066108
420,238.89896907216496,420,491.3540504102364,0,1.0,181.10103092783504,-71.35405041023643
300,179.1835051546392,300,179.1836563374057,0,1.0,120.81649484536081,120.8163436625943
360,238.89896907216496,360,238.89896907216496,0,1.0,121.10103092783504,121.10103092783504
300,298.6515464390204,300,298.6515463917526,0,1.0,1.3484535609795785,1.3484536082473824
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
480,238.89896907216496,480,238.91030616823966,0,1.0,241.10103092783504,241.08969383176034
120,119.46804123711341,120,119.46804123711341,0,1.0,0.5319587628865889,0.5319587628865889
420,238.89896907216496,420,238.89896907216496,0,1.0,181.10103092783504,181.10103092783504
360,358.3670103092784,360,358.3720609131131,0,1.0,1.6329896907216153,1.6279390868868973
480,298.6515463917526,480,298.6515463917526,0,1.0,181.34845360824738,181.34845360824738
360,238.89896907216496,360,249.621321849516,0,1.0,121.10103092783504,110.378678150484
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
420,298.65154644015456,420,298.6515463917526,0,1.0,121.34845355984544,121.34845360824738
300,298.6515463917526,300,388.51260237955063,0,1.0,1.3484536082473824,-88.51260237955063
540,179.1835051546392,540,179.1835051546392,0,1.0,360.8164948453608,360.8164948453608
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
420,179.1835051585135,420,179.1835051546392,0,1.0,240.8164948414865,240.8164948453608
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
300,179.1835051546392,300,179.1835051546392,0,1.0,120.81649484536081,120.81649484536081
420,119.46804123711341,420,159.56762056756205,0,1.0,300.5319587628866,260.432379432438
360,238.89896916342718,360,238.89896907216496,0,1.0,121.10103083657282,121.10103092783504
600,179.1835051585135,660,304.76640263363385,60,0.0,420.8164948414865,355.23359736636615
540,119.46804123711341,540,256.0601757836635,0,1.0,420.5319587628866,283.9398242163365
360,358.3670103092784,360,358.3670103623846,0,1.0,1.6329896907216153,1.6329896376154238
300,298.6515587826542,300,298.6515463917526,0,1.0,1.348441217345794,1.3484536082473824
360,358.36701034055284,360,370.5672798174361,0,1.0,1.632989659447162,-10.567279817436088
300,298.6515766429771,300,298.6519548869213,0,1.0,1.3484233570229094,1.3480451130786832
180,179.1835051930581,180,179.1835051546392,0,1.0,0.816494806941904,0.8164948453608076
540,298.6515463917526,540,299.0532186969453,0,1.0,241.34845360824738,240.9467813030547
300,298.65154643713214,300,298.6515463917526,0,1.0,1.34845356286786,1.3484536082473824
240,238.89896918053083,240,238.89896907216496,0,1.0,1.1010308194691731,1.1010309278350405
540,298.6515463917526,540,298.65156116397424,0,1.0,241.34845360824738,241.34843883602576
660,238.89896907216496,720,179.1835051546392,60,0.0,421.10103092783504,540.8164948453608
300,119.46804189232904,300,210.3357164699917,0,1.0,180.53195810767096,89.6642835300083
180,179.1835051546392,180,179.1874669586678,0,1.0,0.8164948453608076,0.8125330413321876
720,238.89896907216496,720,179.1835051546392,0,0.3333333333333333,481.10103092783504,540.8164948453608
540,179.1835051546392,540,179.1835051546392,0,1.0,360.8164948453608,360.8164948453608
480,238.89896918053083,480,238.89896907216496,0,1.0,241.10103081946917,241.10103092783504
420,238.89896907216496,420,238.9016026774957,0,1.0,181.10103092783504,181.0983973225043
