tt,est_tt,dp_tt,dp_est_tt,dp_induced_excess_tt,path_similarity,tt_est_error,dp_tt_est_error
120,119.46804123711341,120,119.4680708079635,0,1.0,0.5319587628865889,0.5319291920365004
120,119.46804123711341,1020,212.8124625425454,900,0.0,0.5319587628865889,807.1875374574546
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
120,119.46804123711341,120,433.91509957156785,0,1.0,0.5319587628865889,-313.91509957156785
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
300,179.1835051546392,840,358.3670103092784,540,0.0,120.81649484536081,481.6329896907216
300,119.46804123711341,300,119.46804123711341,0,1.0,180.53195876288657,180.53195876288657
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
420,238.89896907216496,420,491.3540504102364,0,1.0,181.10103092783504,-71.35405041023643
360,358.3670103092784,360,366.23275836651624,0,1.0,1.6329896907216153,-6.2327583665162365
300,179.1835051546392,300,179.1835051546392,0,1.0,120.81649484536081,120.81649484536081
360,119.46804123711341,360,119.46804123711341,0,1.0,240.53195876288657,240.53195876288657
420,119.46804123711341,420,119.46877560185014,0,1.0,300.5319587628866,300.53122439814985
180,179.18350515496206,180,179.1835163182754,0,1.0,0.816494845037937,0.8164836817246055
480,238.89896907216496,480,298.6515463917526,0,0.0,241.10103092783504,181.34845360824738
180,179.18350515496206,180,179.1835051546392,0,1.0,0.816494845037937,0.8164948453608076
300,298.6515463917526,300,298.7105941522047,0,1.0,1.3484536082473824,1.289405847795308
360,358.36701034055284,360,358.3670103092784,0,1.0,1.632989659447162,1.6329896907216153
360,358.36701034055284,360,358.3670103092784,0,1.0,1.632989659447162,1.6329896907216153
180,179.1835051585135,180,179.2308401154947,0,1.0,0.8164948414865023,0.7691598845053136
240,238.8989780099825,240,238.89896907216496,0,1.0,1.1010219900175002,1.1010309278350405
480,238.89896907216496,480,238.90883530035867,0,1.0,241.10103092783504,241.09116469964133
240,238.89896907216496,240,239.25184259991647,0,1.0,1.1010309278350405,0.748157400083528
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
480,298.6515463917526,480,298.6515463917526,0,1.0,181.34845360824738,181.34845360824738
240,238.89896917025465,240,238.89896907216496,0,1.0,1.1010308297453548,1.1010309278350405
180,179.18350521662816,180,179.5094596615644,0,1.0,0.8164947833718372,0.49054033843560774
420,119.46804123711341,420,120.42699709529333,0,1.0,300.5319587628866,299.57300290470664
540,238.89896907216496,540,238.89896907216496,0,1.0,301.10103092783504,301.10103092783504
540,179.1835051546392,540,340.095920259446,0,1.0,360.8164948453608,199.90407974055398
360,119.46804123711341,360,119.468041237233,0,1.0,240.53195876288657,240.531958762767
180,179.1835051598054,180,179.33468304605188,0,1.0,0.8164948401945935,0.6653169539481212
480,119.46805572088893,540,179.1838724653266,60,0.0,360.5319442791111,360.8161275346734
600,238.89896907216496,600,261.0471457655677,0,1.0,361.10103092783504,338.9528542344323
540,298.6515463917526,540,298.6515463917526,0,1.0,241.34845360824738,241.34845360824738
660,119.46804123711341,900,238.89896907216496,240,0.2222222222222222,540.5319587628866,661.101030927835
600,238.89896907216496,600,238.89897065205173,0,1.0,361.10103092783504,361.10102934794827
300,298.6515463917526,300,394.5387633756383,0,1.0,1.3484536082473824,-94.53876337563833
300,179.1835051546392,360,134.6824931562599,60,0.0,120.81649484536081,225.3175068437401
240,238.8989708376598,240,412.3365286087229,0,1.0,1.101029162340211,-172.33652860872292
660,358.3670103092784,660,358.3670103149573,0,1.0,301.6329896907216,301.6329896850427
720,298.6515463917526,720,298.6515463917526,0,1.0,421.3484536082474,421.3484536082474
360,238.8989708376598,360,238.89896907216496,0,1.0,121.10102916234021,121.10103092783504
660,238.89896907216496,660,239.4466358649886,0,1.0,421.10103092783504,420.5533641350114
420,298.65154644015456,420,312.13556463196284,0,1.0,121.34845355984544,107.86443536803716
240,238.8990380368064,240,240.1622022645478,0,1.0,1.1009619631936118,-0.16220226454780118
600,238.89896907216496,600,238.89896907216496,0,1.0,361.10103092783504,361.10103092783504
240,238.89897064160007,240,239.13358921019454,0,1.0,1.101029358399927,0.8664107898054567
360,358.3670103092784,360,358.3670103191665,0,1.0,1.6329896907216153,1.6329896808334752
480,179.1835051585135,480,179.2308401154947,0,1.0,300.8164948414865,300.7691598845053
480,119.46811456122705,480,122.59625334090869,0,1.0,360.531885438773,357.4037466590913
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
480,179.1835051546392,480,179.1835051546392,0,1.0,300.8164948453608,300.8164948453608
480,238.8989708060183,480,239.64906564064086,0,1.0,241.1010291939817,240.35093435935914
480,238.89896907543488,480,238.91530157622537,0,1.0,241.10103092456512,241.08469842377463
420,238.8989780099825,420,256.4678903727554,0,1.0,181.1010219900175,163.5321096272446
420,238.89896907216496,420,239.1634483992727,0,1.0,181.10103092783504,180.8365516007273
300,298.6515463917526,300,324.80069627870864,0,1.0,1.3484536082473824,-24.800696278708642
360,119.46805172056337,360,175.77321644786005,0,1.0,240.53194827943662,184.22678355213995
300,298.6515463917526,300,298.6555410431371,0,1.0,1.3484536082473824,1.3444589568629226
720,238.89896917025465,720,238.89896907216496,0,1.0,481.10103082974535,481.10103092783504
660,179.1835051546392,660,179.1835051546392,0,1.0,480.8164948453608,480.8164948453608
120,119.46804123711341,120,119.46804123711341,0,1.0,0.5319587628865889,0.5319587628865889
540,238.8989708376598,540,238.89896907216496,0,1.0,301.1010291623402,301.10103092783504
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
900,358.3670103092784,900,358.85482047275923,0,1.0,541.6329896907216,541.1451795272408
660,298.6515463917526,660,298.6515463917526,0,1.0,361.3484536082474,361.3484536082474
840,238.89896907216496,840,238.89896907216496,0,1.0,601.101030927835,601.101030927835
240,238.89896917025465,240,238.89896907216496,0,1.0,1.1010308297453548,1.1010309278350405
600,238.89896907288013,600,238.8995365635098,0,1.0,361.10103092711984,361.1004634364902
780,119.46804123711341,780,120.81573438751468,0,1.0,660.5319587628866,659.1842656124853
