tt,est_tt,dp_tt,dp_est_tt,dp_induced_excess_tt,path_similarity,tt_est_error,dp_tt_est_error
120,119.46804123711341,120,119.46804707826898,0,1.0,0.5319587628865889,0.531952921731019
120,119.46804123711341,120,528.2677952013743,0,1.0,0.5319587628865889,-408.26779520137427
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
120,119.46804123711341,120,181.58104041428962,0,1.0,0.5319587628865889,-61.58104041428962
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
300,179.1835051546392,300,179.1835051546392,0,1.0,120.81649484536081,120.81649484536081
300,119.46804123711341,300,119.46804123711341,0,1.0,180.53195876288657,180.53195876288657
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
420,238.89896907216496,420,288.76663945993215,0,1.0,181.10103092783504,131.23336054006785
360,358.3670103092784,360,359.92073832058463,0,1.0,1.6329896907216153,0.07926167941536733
300,179.1835051546392,300,179.1835051546392,0,1.0,120.81649484536081,120.81649484536081
360,119.46804123711341,360,119.46804123711341,0,1.0,240.53195876288657,240.53195876288657
420,119.46804123711341,420,119.4681862968145,0,1.0,300.5319587628866,300.5318137031855
180,179.18350515470297,180,179.1835073598019,0,1.0,0.8164948452970293,0.8164926401981063
480,238.89896907216496,480,298.6515463917526,0,0.0,241.10103092783504,181.34845360824738
180,179.18350515470297,180,179.1835051546392,0,1.0,0.8164948452970293,0.8164948453608076
300,298.6515463917526,300,298.6632101469037,0,1.0,1.3484536082473824,1.3367898530963203
360,358.36701031545607,360,358.3670103092784,0,1.0,1.6329896845439293,1.6329896907216153
360,358.36701031545607,360,358.3670103092784,0,1.0,1.6329896845439293,1.6329896907216153
180,179.1835051554045,180,179.19285527036374,0,1.0,0.8164948445954963,0.8071447296362635
240,238.8989708376598,240,238.89896907216496,0,1.0,1.101029162340211,1.1010309278350405
480,238.89896907216496,480,238.9009179567464,0,1.0,241.10103092783504,241.0990820432536
240,238.89896907216496,240,238.96867248505416,0,1.0,1.1010309278350405,1.0313275149458434
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
480,298.6515463917526,480,298.6515463917526,0,1.0,181.34845360824738,181.34845360824738
240,238.89896909154066,240,238.89896907216496,0,1.0,1.101030908459336,1.1010309278350405
180,179.18350516688392,180,179.2478912300812,0,1.0,0.8164948331160815,0.7521087699188058
420,119.46804123711341,420,119.65746461650699,0,1.0,300.5319587628866,300.342535383493
540,238.89896907216496,540,238.89896907216496,0,1.0,301.10103092783504,301.10103092783504
540,179.1835051546392,540,210.9686735704035,0,1.0,360.8164948453608,329.0313264295965
360,119.46804123711341,360,119.46804123713704,0,1.0,240.53195876288657,240.53195876286296
180,179.18350515565967,180,179.21336745417747,0,1.0,0.8164948443403262,0.7866325458225276
480,119.4680440981061,540,179.18357770983673,60,0.0,360.53195590189387,360.81642229016325
600,238.89896907216496,600,243.27391755481239,0,1.0,361.10103092783504,356.7260824451876
540,298.6515463917526,540,298.6515463917526,0,1.0,241.34845360824738,241.34845360824738
660,119.46804123711341,900,238.89896907216496,240,0.2222222222222222,540.5319587628866,661.101030927835
600,238.89896907216496,600,238.89896938424138,0,1.0,361.10103092783504,361.10103061575865
300,298.6515463917526,300,317.5922312280757,0,1.0,1.3484536082473824,-17.59223122807572
300,179.1835051546392,360,122.47336507299421,60,0.0,120.81649484536081,237.52663492700577
240,238.8989694209047,240,273.15824009173195,0,1.0,1.1010305790952941,-33.158240091731955
