tt,est_tt,dp_tt,dp_est_tt,dp_induced_excess_tt,path_similarity,tt_est_error,dp_tt_est_error
120,119.46804123711341,120,119.46851437071481,0,1.0,0.5319587628865889,0.5314856292851857
120,119.46804123711341,1380,238.89896907216496,1260,0.0,0.5319587628865889,1141.101030927835
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
120,119.46804123711341,1020,1502.8563042144442,900,0.0,0.5319587628865889,-482.8563042144442
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
300,179.1835051546392,840,358.3670103092784,540,0.0,120.81649484536081,481.6329896907216
300,119.46804123711341,720,119.46804123711341,420,0.0,180.53195876288657,600.5319587628866
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
420,238.89896907216496,780,481.7750403689945,360,0.4,181.10103092783504,298.2249596310055
360,358.3670103092784,360,484.2189792250841,0,1.0,1.6329896907216153,-124.21897922508413
300,179.1835051546392,300,179.1835051546392,0,1.0,120.81649484536081,120.81649484536081
360,119.46804123711341,360,119.46804123711341,0,1.0,240.53195876288657,240.53195876288657
420,119.46804123711341,600,179.18352048354097,180,0.3333333333333333,300.5319587628866,420.816479516459
180,179.1835051598054,180,179.18368377281809,0,1.0,0.8164948401945935,0.8163162271819147
480,238.89896907216496,480,298.6515463917526,0,0.0,241.10103092783504,181.34845360824738
180,179.1835051598054,180,179.1835051546392,0,1.0,0.8164948401945935,0.8164948453608076
300,298.6515463917526,300,299.59631055898575,0,1.0,1.3484536082473824,0.40368944101425086
360,358.36701080967,360,358.3670103092784,0,1.0,1.6329891903300222,1.6329896907216153
360,358.36701080967,360,358.3670103092784,0,1.0,1.6329891903300222,1.6329896907216153
180,179.18350521662816,180,179.9408645283275,0,1.0,0.8164947833718372,0.05913547167250499
240,238.8991120772454,240,238.89896907216496,0,1.0,1.1008879227545947,1.1010309278350405
480,238.89896907216496,480,239.05682872326415,0,1.0,241.10103092783504,240.94317127673585
240,238.89896907216496,240,244.54494551618868,0,1.0,1.1010309278350405,-4.544945516188676
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
480,298.6515463917526,480,298.6515463917526,0,1.0,181.34845360824738,181.34845360824738
240,238.89897064160007,240,238.89896907216496,0,1.0,1.101029358399927,1.1010309278350405
180,179.18350614646278,180,184.3987772654423,0,1.0,0.8164938535372244,-4.398777265442305
420,119.46804123711341,420,134.81133496799208,0,1.0,300.5319587628866,285.1886650320079
540,238.89896907216496,540,238.89896907216496,0,1.0,301.10103092783504,301.10103092783504
540,179.1835051546392,1560,597.2659793814433,1020,0.0,360.8164948453608,962.7340206185567
360,119.46804123711341,360,119.46804123902696,0,1.0,240.53195876288657,240.53195876097305
180,179.18350523729876,180,181.60235141724226,0,1.0,0.8164947627012396,-1.6023514172422608
480,119.46827297752193,540,179.1882029316916,60,0.0,360.5317270224781,360.8117970683084
600,238.89896907216496,780,238.89896907216496,180,0.0,361.10103092783504,541.101030927835
540,298.6515463917526,540,298.6515463917526,0,1.0,241.34845360824738,241.34845360824738
660,119.46804123711341,1080,238.89896907216496,420,0.4444444444444444,540.5319587628866,841.101030927835
600,238.89896907216496,600,238.89899435035315,0,1.0,361.10103092783504,361.1010056496468
300,298.6515463917526,660,238.89896907216496,360,0.0,1.3484536082473824,421.10103092783504
300,179.1835051546392,360,362.8992719434572,60,0.0,120.81649484536081,-2.8992719434572223
240,238.89899732008212,1260,358.3670103092784,1020,0.0,1.1010026799178831,901.6329896907216
660,358.3670103092784,660,358.3670104001406,0,1.0,301.6329896907216,301.6329895998594
720,298.6515463917526,720,298.6515463917526,0,1.0,421.3484536082474,421.3484536082474
360,238.89899732008212,480,477.83505154639175,120,0.0,121.10100267991788,2.164948453608247
660,238.89896907216496,660,247.66163775734364,0,1.0,421.10103092783504,412.33836224265633
420,298.65154716618395,420,528.0687740663053,0,1.0,121.34845283381605,-108.06877406630531
240,238.9000725064277,240,257.7562464586918,0,1.0,1.0999274935722951,-17.756246458691805
600,238.89896907216496,600,238.89896907216496,0,1.0,361.10103092783504,361.10103092783504
240,238.89899418312694,240,242.65289128063853,0,1.0,1.1010058168730552,-2.652891280638528
360,358.3670103092784,360,358.3670104674881,0,1.0,1.6329896907216153,1.6329895325118855
480,179.18350521662816,480,179.9408645283275,0,1.0,300.8164947833718,300.0591354716725
480,119.46921442293147,540,179.1835051546392,60,0.0,360.5307855770685,360.8164948453608
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
480,179.1835051546392,480,179.1835051546392,0,1.0,300.8164948453608,300.8164948453608
480,238.89899681381857,480,250.90051416777905,0,1.0,241.10100318618143,229.09948583222095
480,238.8989691244837,480,239.1602891371314,0,1.0,241.1010308755163,240.8397108628686
420,238.8991120772454,420,510.12478285278763,0,1.0,181.1008879227546,-90.12478285278763
420,238.89896907216496,420,243.1306383058892,0,1.0,181.10103092783504,176.8693616941108
300,298.6515463917526,300,717.0379445830494,0,1.0,1.3484536082473824,-417.03794458304935
360,119.46820897231278,480,477.83505154639175,120,0.0,240.53179102768723,2.164948453608247
300,298.6515463917526,300,298.715460813904,0,1.0,1.3484536082473824,1.2845391860960262
720,238.89897064160007,720,238.89896907216496,0,1.0,481.10102935839996,481.10103092783504
660,179.1835051546392,660,179.1835051546392,0,1.0,480.8164948453608,480.8164948453608
120,119.46804123711341,120,119.46804123711341,0,1.0,0.5319587628865889,0.5319587628865889
540,238.89899732008212,540,238.89896907216496,0,1.0,301.1010026799179,301.10103092783504
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
900,358.3670103092784,900,366.17197292497144,0,1.0,541.6329896907216,533.8280270750286
660,298.6515463917526,1080,179.9408645283275,420,0.0,361.3484536082474,900.0591354716726
840,238.89896907216496,840,238.89896907216496,0,1.0,601.101030927835,601.101030927835
240,238.89897064160007,240,238.89896907216496,0,1.0,1.101029358399927,1.1010309278350405
600,238.8989690836075,600,238.90804893368252,0,1.0,361.10103091639246,361.0919510663175
780,119.46804123711341,780,141.03113164353394,0,1.0,660.5319587628866,638.968868356466
540,298.65154716618395,780,179.1835051546392,240,0.0,241.34845283381605,600.8164948453608
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
480,238.89899681381857,900,358.3670103092784,420,0.0,241.10100318618143,541.6329896907216
540,179.1835051546392,660,180.20803450806787,120,0.4,360.8164948453608,479.79196549193216
840,298.6515463917526,1080,358.3670211133519,240,0.0,541.3484536082474,721.6329788866481
780,179.1835051546392,840,293.48058333857114,60,0.6,600.8164948453608,546.5194166614289
600,238.89896907216496,600,238.89896907216496,0,1.0,361.10103092783504,361.10103092783504
300,179.1835057693414,300,179.54524732784836,0,1.0,120.8164942306586,120.45475267215164
120,119.46820897231278,120,119.46804123711341,0,1.0,0.5317910276872198,0.5319587628865889
420,238.9000725064277,420,257.7562464586918,0,1.0,181.0999274935723,162.2437535413082
480,238.89896907216496,480,238.89896907216496,0,1.0,241.10103092783504,241.10103092783504
720,119.46804123711341,720,119.46804123711341,0,1.0,600.5319587628866,600.5319587628866
660,358.36701080967,660,358.37134134278153,0,1.0,301.63298919033,301.62865865721847
540,238.89899732008212,1200,358.3670103092784,660,0.25,301.1010026799179,841.6329896907216
840,119.46804123711341,1080,238.89896907216496,240,0.0,720.5319587628866,841.101030927835
480,298.6515504585911,480,299.05512633610783,0,1.0,181.3484495414089,180.94487366389217
540,358.3670103092784,540,358.3670103092784,0,1.0,181.63298969072162,181.63298969072162
420,119.46804123711341,960,238.89896907216496,540,0.0,300.5319587628866,721.101030927835
420,119.46805172056337,420,119.46804123711341,0,1.0,300.5319482794366,300.5319587628866
660,179.18350523729876,660,179.1835051546392,0,1.0,480.81649476270127,480.8164948453608
