Average travel time without privacy (sec), 546.5090 
Average travel time with DP (sec), 546.5182 
Travel time increase due to DP (sec), 0.0091 
Percentage increase in travel time due to DP (percent), 0.0017 
Percentage cars with no additional travel time due to DP (percent), 90.7023 
Percentage cars with no change in route due to DP (percent), 98.4501 
Average number of vehicles joining the network every time step, 83.4722 
Min link utilization, 0.0000 
Max link utilization, 0.9028 
Average link utilization, 0.2760 
