tt,est_tt,dp_tt,dp_est_tt,dp_induced_excess_tt,path_similarity,tt_est_error,dp_tt_est_error
240,238.93608247422682,660,656.9814442570255,420,0.0,1.0639175257731779,3.018555742974513
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
240,238.89896907216496,240,491.3540504102364,0,1.0,1.1010309278350405,-251.35405041023643
120,119.46804123711341,120,119.68927514158908,0,1.0,0.5319587628865889,0.31072485841092146
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
300,298.6515463917526,840,836.4483111570828,540,0.0,1.3484536082473824,3.5516888429172013
360,358.3670103092784,360,358.3682027518335,0,1.0,1.6329896907216153,1.6317972481664924
300,298.6515463917526,300,298.74337971200316,0,1.0,1.3484536082473824,1.2566202879968387
300,298.6515463917526,300,332.28050377965883,0,1.0,1.3484536082473824,-32.28050377965883
360,358.3670103092784,360,358.3670103149573,0,1.0,1.6329896907216153,1.6329896850426735
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
420,418.08247422680415,540,559.6986921573202,120,0.0,1.9175257731958482,-19.698692157320238
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
360,358.36701030982323,360,358.367010314008,0,1.0,1.632989690176771,1.6329896859920154
480,477.8350515463918,480,477.8350515943693,0,1.0,2.16494845360819,2.164948405630696
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
300,298.6515463943554,300,298.6515463917526,0,1.0,1.348453605644579,1.3484536082473824
540,537.5505154639176,540,537.5505154639176,0,1.0,2.449484536082423,2.449484536082423
480,477.8350515463918,480,500.13594731004923,0,1.0,2.16494845360819,-20.135947310049232
420,418.11960211264153,420,447.3048237003021,0,1.0,1.8803978873584697,-27.30482370030211
420,418.11960211264153,420,447.3048237003021,0,1.0,1.8803978873584697,-27.30482370030211
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
360,358.3670110748374,360,358.3670103092784,0,1.0,1.6329889251625787,1.6329896907216153
480,477.8350515463918,480,511.4789176400854,0,1.0,2.16494845360819,-31.4789176400854
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
300,298.6515503123113,300,298.9680482081563,0,1.0,1.3484496876886851,1.03195179184371
420,418.08247422680415,420,418.08479531123044,0,1.0,1.9175257731958482,1.9152046887695633
540,537.5505154639176,540,537.5505811869078,0,1.0,2.449484536082423,2.4494188130921657
420,418.11958763146885,420,418.3408215333417,0,1.0,1.8804123685311538,1.659178466658318
600,597.3030927835052,720,716.7350117021068,120,0.0,2.6969072164947647,3.264988297893183
420,418.11958840329737,420,418.3408215333417,0,1.0,1.8804115967026291,1.659178466658318
180,179.18350515496206,180,179.18350865126104,0,1.0,0.816494845037937,0.816491348738964
540,537.5505154639176,600,598.8103105808088,60,0.3333333333333333,2.449484536082423,1.1896894191911542
420,418.11958762886604,420,455.7026316291857,0,1.0,1.880412371133957,-35.7026316291857
480,477.8350677956621,480,507.0179665334016,0,1.0,2.1649322043379016,-27.01796653340159
660,656.9814432989691,780,776.4500869380164,120,0.0,3.0185567010308887,3.5499130619836023
360,358.36701044164846,360,358.3670103092784,0,1.0,1.6329895583515395,1.6329896907216153
300,298.65154664593,300,298.7100639146896,0,1.0,1.3484533540699886,1.2899360853103872
240,238.8989708376598,240,239.58770339424754,0,1.0,1.101029162340211,0.4122966057524593
120,119.46804123711341,120,189.8126093360033,0,1.0,0.5319587628865889,-69.8126093360033
540,537.5505155551798,540,537.7198290269001,0,1.0,2.4494844448202002,2.280170973099871
180,179.1835051546392,180,183.61024135838665,0,1.0,0.8164948453608076,-3.610241358386645
480,477.83505156673425,480,477.8350515463918,0,1.0,2.1649484332657494,2.16494845360819
300,298.6515464963577,300,298.6525730272416,0,1.0,1.348453503642304,1.3474269727583987
240,238.89897751257377,240,238.89896907216496,0,1.0,1.1010224874262349,1.1010309278350405
300,298.6515463948906,300,298.6515463917526,0,1.0,1.3484536051093983,1.3484536082473824
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
660,657.018556701031,720,718.333220041877,60,0.0,2.9814432989689976,1.6667799581230156
540,537.5505154639176,540,539.8789512806767,0,1.0,2.449484536082423,0.12104871932331207
360,358.36701033698347,360,358.3670103092784,0,1.0,1.6329896630165308,1.6329896907216153
300,298.65154644368357,300,323.88170748125003,0,1.0,1.3484535563164286,-23.881707481250032
180,179.1835051585135,180,179.1835051546392,0,1.0,0.8164948414865023,0.8164948453608076
180,179.1835092370232,180,194.88227478812033,0,1.0,0.8164907629767981,-14.882274788120327
720,716.7711340206187,960,981.6662936291417,240,0.2222222222222222,3.2288659793813395,-21.666293629141705
540,537.5505154644625,540,537.5505154686472,0,1.0,2.449484535537522,2.449484531352823
360,358.36701030931874,360,358.367054517216,0,1.0,1.6329896906812564,1.6329454827840095
540,537.5505154670556,540,537.5505154639176,0,1.0,2.449484532944439,2.449484536082423
360,358.36701030931874,360,358.367054517216,0,1.0,1.6329896906812564,1.6329454827840095
600,597.3030927867338,600,597.3036355815639,0,1.0,2.696907213266172,2.696364418436133
540,537.5505210064971,540,542.0178517869047,0,1.0,2.4494789935029075,-2.0178517869046573
420,418.11958762886604,420,425.46585268145816,0,1.0,1.880412371133957,-5.465852681458159
120,119.4680420881755,120,937.8673257841702,0,1.0,0.5319579118245059,-817.8673257841702
720,716.7340206185568,780,777.993815735448,60,0.5,3.2659793814432305,2.006184264551962
540,537.5505348890593,540,550.624440052561,0,1.0,2.4494651109406504,-10.624440052560999
240,238.8990380368064,240,249.10913059981334,0,1.0,1.1009619631936118,-9.10913059981334
420,418.1196604854534,420,418.26268088233616,0,1.0,1.8803395145466197,1.7373191176638443
420,418.1196604854534,420,418.26268088233616,0,1.0,1.8803395145466197,1.7373191176638443
540,537.5876441210502,540,550.9770688870526,0,1.0,2.4123558789498247,-10.97706888705261
540,537.5876441210502,540,550.9770688870526,0,1.0,2.4123558789498247,-10.97706888705261
540,537.5505231113061,540,538.7333852844417,0,1.0,2.44947688869388,1.266614715558262
480,477.7979381443299,480,477.79845740153553,0,1.0,2.202061855670081,2.2015425984644708
480,477.7979381443299,480,503.2834668221127,0,1.0,2.202061855670081,-23.2834668221127
300,298.6515608755281,300,303.07828259627536,0,1.0,1.348439124471895,-3.0782825962753577
300,298.65154716618395,300,298.6515463917526,0,1.0,1.3484528338160544,1.3484536082473824
120,119.46805172056337,120,119.46804123711341,0,1.0,0.5319482794366337,0.5319587628865889
840,836.2020618556702,840,836.4236452453405,0,1.0,3.7979381443298053,3.576354754659519
540,537.5505157382843,540,537.5505156275406,0,1.0,2.4494842617157246,2.4494843724594375
420,418.08247458617296,420,418.3337225808665,0,1.0,1.9175254138270361,1.6662774191335075
240,238.8989708376598,240,238.89896907216496,0,1.0,1.101029162340211,1.1010309278350405
180,179.1835051585135,180,179.1835051546392,0,1.0,0.8164948414865023,0.8164948453608076
540,537.5505176607918,540,542.0859993128245,0,1.0,2.4494823392082026,-2.0859993128244696
120,119.46809430957885,120,305.5589690446788,0,1.0,0.531905690421155,-185.5589690446788
120,119.46804126326059,120,120.10496440330841,0,1.0,0.5319587367394121,-0.10496440330841494
300,298.65154644196053,300,298.6515463917526,0,1.0,1.3484535580394663,1.3484536082473824
540,537.5507333742295,1020,1015.5121930939705,480,0.0,2.4492666257705196,4.487806906029505
180,179.1835051585135,180,179.1835051546392,0,1.0,0.8164948414865023,0.8164948453608076
