tt,est_tt,dp_tt,dp_est_tt,dp_induced_excess_tt,path_similarity,tt_est_error,dp_tt_est_error
240,119.46804123711341,240,528.2677952013743,0,1.0,120.53195876288659,-288.26779520137427
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
240,238.89896907216496,240,288.76663945993215,0,1.0,1.1010309278350405,-48.76663945993215
120,119.46804123711341,120,119.51174176145429,0,1.0,0.5319587628865889,0.48825823854571127
300,119.46804123711341,300,119.46804123711341,0,1.0,180.53195876288657,180.53195876288657
300,179.1835051546392,300,179.1835051546392,0,1.0,120.81649484536081,120.81649484536081
360,358.3670103092784,360,358.3672458534868,0,1.0,1.6329896907216153,1.6327541465132072
300,298.6515463917526,300,298.66968630686387,0,1.0,1.3484536082473824,1.3303136931361337
300,119.46804123711341,300,119.46804123711341,0,1.0,180.53195876288657,180.53195876288657
360,358.3670103092784,360,358.36701031040013,0,1.0,1.6329896907216153,1.6329896895998672
300,179.1835051546392,300,179.1835051546392,0,1.0,120.81649484536081,120.81649484536081
420,179.1835051546392,540,298.6515463917526,120,0.0,240.8164948453608,241.34845360824738
360,238.89896907216496,360,238.89896907216496,0,1.0,121.10103092783504,121.10103092783504
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
360,358.36701030938605,360,358.36701031021266,0,1.0,1.6329896906139538,1.6329896897873368
480,179.1835051546392,480,179.1835051546392,0,1.0,300.8164948453608,300.8164948453608
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
300,179.18350515483053,300,179.1835051546392,0,1.0,120.81649484516947,120.81649484536081
540,298.6515463917526,540,298.6515463917526,0,1.0,241.34845360824738,241.34845360824738
480,119.46804123711341,480,119.46804707826898,0,1.0,360.5319587628866,360.53195292173103
420,179.1835051546392,420,179.1839636404518,0,1.0,240.8164948453608,240.8160363595482
420,179.1835051546392,420,179.1839636404518,0,1.0,240.8164948453608,240.8160363595482
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
360,238.89896909396117,360,238.89896907216496,0,1.0,121.10103090603883,121.10103092783504
480,119.46804123711341,480,119.46804123711341,0,1.0,360.5319587628866,360.5319587628866
360,238.89896907216496,360,238.89896907216496,0,1.0,121.10103092783504,121.10103092783504
300,298.65154716618395,300,298.71915920662957,0,1.0,1.3484528338160544,1.2808407933704302
420,179.1835051546392,420,179.1839636404518,0,1.0,240.8164948453608,240.8160363595482
540,179.1835051546392,540,179.18351813695824,0,1.0,360.8164948453608,360.81648186304176
420,119.46804123711341,420,119.51174176145429,0,1.0,300.5319587628866,300.4882582385457
600,119.46804123711341,600,225.9297399839899,0,1.0,480.5319587628866,374.07026001601014
420,119.46804123711341,420,119.51174176145429,0,1.0,300.5319587628866,300.4882582385457
180,179.18350515470297,180,179.1835058453299,0,1.0,0.8164948452970293,0.8164941546700959
540,238.89896907216496,600,238.89896907216496,60,0.3333333333333333,301.10103092783504,361.10103092783504
420,298.6515463917526,420,305.83530001465755,0,1.0,121.34845360824738,114.16469998534245
480,119.4680440981061,480,125.82210592771852,0,1.0,360.53195590189387,354.17789407228145
660,238.89896907216496,660,288.76663945993215,0,1.0,421.10103092783504,371.23336054006785
360,238.89896907216496,360,238.89896907216496,0,1.0,121.10103092783504,121.10103092783504
300,298.65154644196053,300,298.663105408629,0,1.0,1.3484535580394663,1.3368945913709922
240,238.8989694209047,240,239.03501535800845,0,1.0,1.1010305790952941,0.9649846419915491
120,119.46804123711341,120,133.36326456528917,0,1.0,0.5319587628865889,-13.363264565289171
540,119.46804123711341,540,119.50147858625847,0,1.0,420.5319587628866,420.4985214137415
180,179.1835051546392,180,180.05792218253993,0,1.0,0.8164948453608076,-0.05792218253992587
480,119.46804123711341,480,119.46804123711341,0,1.0,360.5319587628866,360.5319587628866
300,179.18350517013704,300,179.18370955555747,0,1.0,120.81649482986296,120.81629044444253
240,238.8989707394062,240,238.89896907216496,0,1.0,1.1010292605938048,1.1010309278350405
300,298.65154639237244,300,298.6515463917526,0,1.0,1.3484536076275617,1.3484536082473824
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
660,119.46804123711341,720,239.21486031627762,60,0.0,540.5319587628866,480.7851396837224
540,358.3670103092784,540,358.8269482483913,0,1.0,181.63298969072162,181.17305175160868
360,358.367010314751,360,358.3670103092784,0,1.0,1.632989685249015,1.6329896907216153
300,298.6515464020106,300,303.63528191560397,0,1.0,1.348453597989419,-3.6352819156039686
180,179.1835051554045,180,179.1835051546392,0,1.0,0.8164948445954963,0.8164948453608076
180,179.18350596103605,180,182.2844966871787,0,1.0,0.8164940389639526,-2.284496687178688
720,179.1835051546392,900,358.3670103092784,180,0.2857142857142857,540.8164948453608,541.6329896907216
540,358.36701030938605,540,358.36701031021266,0,1.0,181.63298969061395,181.63298968978734
360,358.36701030928634,360,358.36701904171053,0,1.0,1.6329896907136572,1.6329809582894654
540,298.65154639237244,540,298.6515463917526,0,1.0,241.34845360762756,241.34845360824738
