tt,est_tt,dp_tt,dp_est_tt,dp_induced_excess_tt,path_similarity,tt_est_error,dp_tt_est_error
240,119.46804123711341,660,238.89896907216496,420,0.0,120.53195876288659,421.10103092783504
180,179.1835051585135,180,179.4435368972632,0,1.0,0.8164948414865023,0.5564631027368137
360,358.3670103092784,360,366.23275836651624,0,1.0,1.6329896907216153,-6.2327583665162365
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
540,358.3670103092784,540,358.36761271121225,0,1.0,181.63298969072162,181.63238728878775
480,298.6515463917526,480,298.6515463917526,0,1.0,181.34845360824738,181.34845360824738
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
240,238.89896907216496,240,238.89896907216496,0,1.0,1.1010309278350405,1.1010309278350405
300,298.6515463917526,300,299.0795381092578,0,1.0,1.3484536082473824,0.9204618907422173
420,119.46804123711341,420,119.46804123832311,0,1.0,300.5319587628866,300.5319587616769
720,238.89896907216496,720,179.1835051546392,0,0.3333333333333333,481.10103092783504,540.8164948453608
600,179.1835051546392,600,179.18548886128391,0,1.0,420.8164948453608,420.81451113871606
780,358.3670103092784,780,358.3670103092784,0,1.0,421.6329896907216,421.6329896907216
360,358.36701030982323,360,360.2037945925608,0,1.0,1.632989690176771,-0.20379459256082555
300,179.1835051546392,300,179.1838938449247,0,1.0,120.81649484536081,120.81610615507529
420,238.89896907216496,420,238.90417543221895,0,1.0,181.10103092783504,181.09582456778105
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
240,238.89896907288013,240,238.89896907216496,0,1.0,1.101030927119865,1.1010309278350405
360,358.36701030982323,360,360.2037945925608,0,1.0,1.632989690176771,-0.20379459256082555
360,119.46804123711341,360,175.27356369243557,0,1.0,240.53195876288657,184.72643630756443
780,238.89896907216496,780,238.89896907216496,0,0.0,541.101030927835,541.101030927835
360,119.46804123874762,360,121.71559580626754,0,1.0,240.53195876125238,238.28440419373246
720,179.1835051546392,720,179.36960623559128,0,1.0,540.8164948453608,540.6303937644087
660,179.1835051546392,660,179.1835051546392,0,1.0,480.8164948453608,480.8164948453608
300,298.6515463948906,300,298.65155528433553,0,1.0,1.3484536051093983,1.3484447156644706
720,179.1835051585135,720,179.1835051546392,0,1.0,540.8164948414865,540.8164948453608
840,179.1835051546392,840,179.1835051546392,0,1.0,660.8164948453608,660.8164948453608
420,119.46804123874762,420,121.71559580626754,0,1.0,300.5319587612524,298.2844041937325
120,119.46804123711341,120,136.05594968059538,0,1.0,0.5319587628865889,-16.055949680595376
660,119.46804123711341,1380,238.93010614660773,720,0.2,540.5319587628866,1141.0698938533924
300,179.1835051546392,300,179.1835051546392,0,1.0,120.81649484536081,120.81649484536081
480,119.46804123711341,540,179.22683074056962,60,0.0,360.5319587628866,360.77316925943035
600,179.1835051546392,600,179.1835051546392,0,1.0,420.8164948453608,420.8164948453608
480,298.6515463917526,480,298.6852196986142,0,1.0,181.34845360824738,181.31478030138578
660,238.89896907216496,660,238.89896907216496,0,1.0,421.10103092783504,421.10103092783504
840,298.6515463948906,840,298.6515463917526,0,1.0,541.3484536051094,541.3484536082474
360,238.89896907236934,360,238.91082852509788,0,1.0,121.10103092763066,121.08917147490212
360,238.89896907236934,360,238.91082852509788,0,1.0,121.10103092763066,121.08917147490212
120,119.46804123711341,120,119.46804123711341,0,1.0,0.5319587628865889,0.5319587628865889
180,179.1835051546392,180,179.1837110520768,0,1.0,0.8164948453608076,0.8162889479231978
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
360,119.46804123711341,360,119.52410334691878,0,1.0,240.53195876288657,240.47589665308124
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
300,119.46804123711341,300,119.70471703025547,0,1.0,180.53195876288657,180.29528296974453
900,238.89896907216496,900,397.50285912328275,0,1.0,661.101030927835,502.49714087671725
300,179.1835051546392,300,179.1835051546392,0,1.0,120.81649484536081,120.81649484536081
900,179.1835051930581,960,223.0632856058994,60,0.6666666666666666,720.8164948069419,736.9367143941006
480,238.89896907216496,480,239.04852397019417,0,1.0,241.10103092783504,240.95147602980583
420,298.6515463917526,420,298.6600628483558,0,1.0,121.34845360824738,121.33993715164422
480,119.46804123711341,480,119.86652415388627,0,1.0,360.5319587628866,360.1334758461137
720,179.1835051546392,720,179.19050255788372,0,1.0,540.8164948453608,540.8094974421163
300,298.65154644196053,300,298.6515463917526,0,1.0,1.3484535580394663,1.3484536082473824
540,179.1835051546392,540,179.92581777328616,0,1.0,360.8164948453608,360.07418222671384
720,358.3670103092784,720,358.3670103092784,0,1.0,361.6329896907216,361.6329896907216
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
300,298.6515463948906,300,298.6515463917526,0,1.0,1.3484536051093983,1.3484536082473824
660,119.46804123711341,660,119.46804123711341,0,1.0,540.5319587628866,540.5319587628866
180,179.1835051585135,180,179.23511933692006,0,1.0,0.8164948414865023,0.7648806630799356
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
240,238.89896918250838,240,238.89896907216496,0,1.0,1.101030817491619,1.1010309278350405
660,358.3670103092784,660,358.36794923684516,0,1.0,301.6329896907216,301.63205076315484
300,298.65154644015456,300,298.6515463917526,0,1.0,1.3484535598454386,1.3484536082473824
420,238.89896907216496,420,239.00162330492586,0,1.0,181.10103092783504,180.99837669507414
540,238.89896907216496,540,238.89896907216496,0,1.0,301.10103092783504,301.10103092783504
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
300,298.6515463948906,300,298.86805238087516,0,1.0,1.3484536051093983,1.131947619124844
540,238.89896907216496,540,341.90284744931665,0,1.0,301.10103092783504,198.09715255068335
720,238.89896907216496,720,241.64596604940215,0,1.0,481.10103092783504,478.35403395059785
840,179.18350540978818,840,179.9847228413388,0,1.0,660.8164945902118,660.0152771586612
240,238.89896918250838,240,238.89896907216496,0,1.0,1.101030817491619,1.1010309278350405
120,119.46804214234939,120,119.46804123711341,0,1.0,0.5319578576506103,0.5319587628865889
300,119.46804123711341,300,121.12751147028317,0,1.0,180.53195876288657,178.87248852971683
300,298.65154643713214,300,298.6515463917526,0,1.0,1.34845356286786,1.3484536082473824
600,119.46804123711341,600,119.46804123711341,0,1.0,480.5319587628866,480.5319587628866
360,238.89896907216496,360,238.89896907216496,0,1.0,121.10103092783504,121.10103092783504
720,179.1835051546392,900,358.3816805982121,180,0.2857142857142857,540.8164948453608,541.6183194017879
960,238.89896907216496,960,238.89896907216496,0,1.0,721.101030927835,721.101030927835
960,238.89896907216496,960,238.89896907216496,0,1.0,721.101030927835,721.101030927835
480,238.89896907216496,1080,238.89896907216496,600,0.0,241.10103092783504,841.101030927835
720,179.18350515786776,720,179.21545228768656,0,1.0,540.8164948421322,540.7845477123135
720,238.89896917025465,720,238.89896907216496,0,1.0,481.10103082974535,481.10103092783504
360,238.8989708376598,360,238.89896907216496,0,1.0,121.10102916234021,121.10103092783504
540,358.3670103092784,540,358.37137210581756,0,1.0,181.63298969072162,181.62862789418244
840,358.3670103092784,840,358.3670103092784,0,0.3333333333333333,481.6329896907216,481.6329896907216
840,298.6515463948906,840,298.6515463917526,0,1.0,541.3484536051094,541.3484536082474
600,179.1835051546392,600,179.1835051546392,0,1.0,420.8164948453608,420.8164948453608
420,298.6515463917526,420,306.00585343329544,0,1.0,121.34845360824738,113.99414656670456
240,238.8989707394062,240,240.04700484517286,0,1.0,1.1010292605938048,-0.04700484517286441
720,238.89896907216496,720,179.1835051546392,0,0.3333333333333333,481.10103092783504,540.8164948453608
540,119.46804123711341,540,119.46804123711341,0,1.0,420.5319587628866,420.5319587628866
540,238.89896907236934,540,239.5754603552347,0,1.0,301.10103092763063,300.42453964476533
540,238.8989708376598,540,238.89896907216496,0,1.0,301.1010291623402,301.10103092783504
720,119.46804123711341,720,119.4870027735904,0,1.0,600.5319587628866,600.5129972264097
660,119.46804123711341,660,119.46804123711341,0,1.0,540.5319587628866,540.5319587628866
