tt,est_tt,dp_tt,dp_est_tt,dp_induced_excess_tt,path_similarity,tt_est_error,dp_tt_est_error
300,298.6515463917526,300,298.6517028988452,0,1.0,1.3484536082473824,1.3482971011547988
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
300,298.65154639237244,300,309.9606459066553,0,1.0,1.3484536076275617,-9.960645906655316
300,298.6515464016702,300,298.6537498857896,0,1.0,1.3484535983297974,1.3462501142104202
540,238.89896907216496,540,238.89899037069304,0,1.0,301.10103092783504,301.101009629307
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
600,179.1835051546392,600,179.18449351669088,0,1.0,420.8164948453608,420.81550648330915
420,179.1835051546392,600,358.3670103092784,180,0.0,240.8164948453608,241.63298969072162
420,179.1835051546392,600,358.3670103092784,180,0.0,240.8164948453608,241.63298969072162
660,358.3670103092784,660,358.54071239233906,0,1.0,301.6329896907216,301.45928760766094
660,358.3670103092784,660,358.54071239233906,0,1.0,301.6329896907216,301.45928760766094
360,358.3670103092784,360,358.3670294126736,0,1.0,1.6329896907216153,1.6329705873263833
120,119.46804123711341,120,119.46804123711341,0,1.0,0.5319587628865889,0.5319587628865889
540,238.89896907216496,540,238.89896907216496,0,1.0,301.10103092783504,301.10103092783504
180,179.1835051546392,180,214.34964093856576,0,1.0,0.8164948453608076,-34.349640938565756
540,238.89896909396117,540,521.6499636549872,0,1.0,301.10103090603883,18.350036345012768
300,298.6515463917526,300,298.65154639177706,0,1.0,1.3484536082473824,1.3484536082229397
660,238.89896907216496,660,238.8999747348022,0,1.0,421.10103092783504,421.1000252651978
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
360,119.46804123711341,360,119.46804123711341,0,1.0,240.53195876288657,240.53195876288657
600,179.1835051546392,660,238.89896907216496,60,0.2857142857142857,420.8164948453608,421.10103092783504
360,119.46804123711341,360,174.03897027262613,0,1.0,240.53195876288657,185.96102972737387
180,179.1835051546392,180,181.7140119225499,0,1.0,0.8164948453608076,-1.7140119225499006
300,179.18350520503898,300,186.32926654087478,0,1.0,120.81649479496102,113.67073345912522
600,119.46804123711341,600,119.46804123711341,0,1.0,480.5319587628866,480.5319587628866
720,119.46804123711341,720,119.46804123711341,0,1.0,600.5319587628866,600.5319587628866
240,238.89896907216496,240,238.90838989373879,0,1.0,1.1010309278350405,1.0916101062612142
420,298.6515463917526,420,298.6515463917526,0,1.0,121.34845360824738,121.34845360824738
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
720,298.65154639237244,720,298.6515463917526,0,1.0,421.34845360762756,421.3484536082474
540,238.89896909396117,540,238.89896907216496,0,1.0,301.10103090603883,301.10103092783504
240,238.89896907216496,240,238.8999698721867,0,1.0,1.1010309278350405,1.1000301278133122
600,119.46804123711341,600,119.46909461735697,0,1.0,480.5319587628866,480.530905382643
480,238.89896907216496,480,238.89896907216496,0,1.0,241.10103092783504,241.10103092783504
900,119.46804123711341,900,119.46804123711341,0,1.0,780.5319587628866,780.5319587628866
300,179.18350596103605,300,179.1835051546392,0,1.0,120.81649403896395,120.81649484536081
960,298.6515464020106,1020,298.6515463917526,60,0.25,661.3484535979894,721.3484536082474
600,119.46804123711341,600,119.46804123711341,0,1.0,480.5319587628866,480.5319587628866
900,238.8989694209047,900,238.89899166186993,0,1.0,661.1010305790953,661.1010083381301
420,119.46804330791835,420,145.60015270554268,0,1.0,300.5319566920816,274.39984729445735
660,119.46804136653873,660,119.46804123711341,0,1.0,540.5319586334613,540.5319587628866
540,298.6515464016702,540,298.6515483623649,0,1.0,241.3484535983298,241.3484516376351
300,179.1835051546392,300,179.1835051546392,0,1.0,120.81649484536081,120.81649484536081
540,119.46804123711341,540,119.46804123711341,0,1.0,420.5319587628866,420.5319587628866
660,238.89896909396117,660,238.89896907216496,0,1.0,421.10103090603883,421.10103092783504
1020,298.6515463917526,1020,298.6515463917526,0,1.0,721.3484536082474,721.3484536082474
540,179.1835051580197,540,179.1835051546392,0,1.0,360.81649484198033,360.8164948453608
240,238.8989694209047,240,238.89896907216496,0,1.0,1.1010305790952941,1.1010309278350405
600,298.6515463917526,900,238.89896907216496,300,0.0,301.3484536082474,661.101030927835
240,238.89896909396117,240,240.60759701931067,0,1.0,1.1010309060388295,-0.6075970193106741
360,238.89896909236813,360,238.89896907216496,0,1.0,121.10103090763187,121.10103092783504
600,238.89896907216496,600,238.91677693455296,0,1.0,361.10103092783504,361.08322306544704
