tt,est_tt,dp_tt,dp_est_tt,dp_induced_excess_tt,path_similarity,tt_est_error,dp_tt_est_error
300,298.6515463917526,300,298.6642234662475,0,1.0,1.3484536082473824,1.3357765337524938
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
180,179.1835051546392,180,179.1835051546392,0,1.0,0.8164948453608076,0.8164948453608076
300,298.65154644196053,900,358.3670103092784,600,0.0,1.3484535580394663,541.6329896907216
300,298.6515471950787,300,298.8300294087492,0,1.0,1.348452804921294,1.1699705912507739
540,238.89896907216496,540,238.9006942529406,0,1.0,301.10103092783504,301.09930574705936
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
600,179.1835051546392,600,179.26356248082467,0,1.0,420.8164948453608,420.7364375191753
420,179.1835051546392,600,358.3670103092784,180,0.0,240.8164948453608,241.63298969072162
420,179.1835051546392,600,358.3670103092784,180,0.0,240.8164948453608,241.63298969072162
660,358.3670103092784,660,372.4368790371957,0,1.0,301.6329896907216,287.5631209628043
660,358.3670103092784,660,372.4368790371957,0,1.0,301.6329896907216,287.5631209628043
360,358.3670103092784,360,358.36855768429103,0,1.0,1.6329896907216153,1.6314423157089664
120,119.46804123711341,120,119.46804123711341,0,1.0,0.5319587628865889,0.5319587628865889
540,238.89896907216496,540,238.89896907216496,0,1.0,301.10103092783504,301.10103092783504
180,179.1835051546392,1620,238.89896907216496,1440,0.0,0.8164948453608076,1381.101030927835
540,238.8989708376598,900,119.46804123711341,360,0.4,301.1010291623402,780.5319587628866
300,298.6515463917526,300,298.65154639373526,0,1.0,1.3484536082473824,1.3484536062647408
660,238.89896907216496,660,238.98042774578008,0,1.0,421.10103092783504,421.01957225421995
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
300,298.6515463917526,300,298.6515463917526,0,1.0,1.3484536082473824,1.3484536082473824
360,119.46804123711341,480,477.83505154639175,120,0.0,240.53195876288657,2.164948453608247
600,179.1835051546392,660,238.89896907216496,60,0.2857142857142857,420.8164948453608,421.10103092783504
360,119.46804123711341,480,477.83505154639175,120,0.0,240.53195876288657,2.164948453608247
180,179.1835051546392,180,384.1545533554082,0,1.0,0.8164948453608076,-204.1545533554082
300,179.1835092370232,300,737.0628323699201,0,1.0,120.8164907629768,-437.0628323699201
600,119.46804123711341,900,119.47528312622524,300,0.0,480.5319587628866,780.5247168737748
720,119.46804123711341,720,119.46804123711341,0,1.0,600.5319587628866,600.5319587628866
240,238.89896907216496,240,239.6620556196444,0,1.0,1.1010309278350405,0.3379443803555944
420,298.6515463917526,420,298.6515463917526,0,1.0,121.34845360824738,121.34845360824738
360,358.3670103092784,360,358.3670103092784,0,1.0,1.6329896907216153,1.6329896907216153
720,298.65154644196053,720,298.6515463917526,0,1.0,421.34845355803947,421.3484536082474
540,238.8989708376598,540,238.89896907216496,0,1.0,301.1010291623402,301.10103092783504
240,238.89896907216496,240,238.98003387392407,0,1.0,1.1010309278350405,1.0199661260759285
600,119.46804123711341,600,119.55336503684248,0,1.0,480.5319587628866,480.4466349631575
480,238.89896907216496,480,238.89896907216496,0,1.0,241.10103092783504,241.10103092783504
900,119.46804123711341,900,119.46804123711341,0,1.0,780.5319587628866,780.5319587628866
300,179.18357047278354,840,179.1835051546392,540,0.4,120.81642952721646,660.8164948453608
960,298.65154722264697,1020,298.6515463917526,60,0.25,661.348452777353,721.3484536082474
600,119.46804123711341,600,119.46804123711341,0,1.0,480.5319587628866,480.5319587628866
